date,cumulative_return
2023-06-30,0.46725195099883665
2023-07-03,0.5159291101924772
2023-07-05,0.5062668594787674
2023-07-06,0.5182924274762792
2023-07-07,0.5045416203710853
2023-07-10,0.49703229365904544
2023-07-11,0.49355414685531085
2023-07-12,0.5130824998239305
2023-07-13,0.5324100882363063
2023-07-14,0.5497105606190484
2023-07-17,0.557577129999683
2023-07-18,0.5482048563465103
2023-07-19,0.5495174232311535
2023-07-20,0.5985549434312596
2023-07-21,0.5860492313126484
2023-07-24,0.6074000506090875
2023-07-25,0.6371055905399283
2023-07-26,0.635904508620674
2023-07-27,0.670706459080793
2023-07-28,0.6511161250161621
2023-07-31,0.6476775245280795
2023-08-01,0.6633708978734791
2023-08-02,0.6455105159343879
2023-08-03,0.6332169265829148
2023-08-04,0.6534397038061457
2023-08-07,0.6749161680947477
2023-08-08,0.6668681271706285
2023-08-09,0.6525522297250328
2023-08-10,0.6385798286716056
2023-08-11,0.6179494767651077
2023-08-14,0.6849494545160599
2023-08-15,0.7124468320080495
2023-08-16,0.730664166843285
2023-08-17,0.7522882802158462
2023-08-18,0.766305698189947
2023-08-21,0.7763999318260195
2023-08-22,0.7445003770254734
2023-08-23,0.7584301074860527
2023-08-24,0.7846233644548601
2023-08-25,0.7297986185663501
2023-08-28,0.744312424688748
2023-08-29,0.7135646087264498
2023-08-30,0.7229335981505634
2023-08-31,0.7205516112350543
2023-09-01,0.749379328822458
2023-09-05,0.7090992790287882
2023-09-06,0.6982199614229194
2023-09-07,0.6848828593623499
2023-09-08,0.6827029422815072
2023-09-11,0.5905104092605753
2023-09-12,0.6028170591110327
2023-09-13,0.6023632095824152
2023-09-14,0.5900574595868133
2023-09-15,0.5654882632291476
2023-09-18,0.5926536290450914
2023-09-19,0.6036027892458027
2023-09-20,0.5909671769295404
2023-09-21,0.5888298707476602
2023-09-22,0.6339381834002795
2023-09-25,0.6281567496628904
2023-09-26,0.6308019850857614
2023-09-27,0.6537371007185855
2023-09-28,0.6456197429281754
2023-09-29,0.6406106842368311
2023-10-02,0.660297013443065
2023-10-03,0.6662031851047145
2023-10-04,0.7056044471117344
2023-10-05,0.689443443946893
2023-10-06,0.6707073682079929
2023-10-09,0.6768819136484314
2023-10-10,0.6730184899208604
2023-10-11,0.6934222847303071
2023-10-12,0.7092029519387004
2023-10-13,0.7077735860701497
2023-10-16,0.7101686308112474
2023-10-17,0.6670168138176364
2023-10-18,0.673771814261068
2023-10-19,0.5969872879678528
2023-10-20,0.5810618808561849
2023-10-23,0.5510652395271973
2023-10-24,0.5548959113568521
2023-10-25,0.5737237858418582
2023-10-26,0.5764178413994183
2023-10-27,0.5789139650829209
2023-10-30,0.5281666414100523
2023-10-31,0.5487166148078624
2023-11-01,0.5379633732963587
2023-11-02,0.5645581942258384
2023-11-03,0.5427964767347477
2023-11-06,0.5275817588660323
2023-11-07,0.5343104221754267
2023-11-08,0.5237455520336558
2023-11-09,0.47598301874386517
2023-11-10,0.4706275598597107
2023-11-13,0.49732541603042013
2023-11-14,0.5272261665917217
2023-11-15,0.5564939715867261
2023-11-16,0.5174198103049423
2023-11-17,0.522518396592125
2023-11-20,0.509590805596021
2023-11-21,0.5344986787044275
2023-11-22,0.531125211525719
2023-11-24,0.549944002574714
2023-11-27,0.5444701363281799
2023-11-28,0.5860018439517314
2023-11-29,0.572432669613196
2023-11-30,0.5817307874708164
2023-12-01,0.5776976720820266
2023-12-04,0.588129513974927
2023-12-05,0.5802240887754309
2023-12-06,0.600405079721166
2023-12-07,0.5921223830797542
2023-12-08,0.5805039668823504
2023-12-11,0.5818464103377048
2023-12-12,0.5553584979670783
2023-12-13,0.555802644969156
2023-12-14,0.5898085256836152
2023-12-15,0.5886831075891616
2023-12-18,0.5649533277731034
2023-12-19,0.5882876505382186
